EIAID	Utility Name	State	eiaSTATE	ProgramID	Program Name	Wind	Solar	Bio	Hydro	Geo	Other	Cost (c/kwh) 	Cost Range (c/kwh)	Credit (Y/N)	Credit (c/kwh)	Blocks Available	Block Size (kWh)	Block Cost ($)	Percentage Options	Percentage Range	Contract Lengths	Monthly Minimum	Termination Fee (Y/N)	Termination Cost (Description)	Green-e	RECs Retired?	Revenue Neutral?	Retail	Waitlist (Y/N)	Rating (TBD for now)	Link to Sign-up Form	Sign-Up URL	Step 1	Step 2	Step 3	Step 4	Step 5	Link to FAQ's	FAQ URL	sign in required?	account name required?	account number?	Address?	Enrollment choices?	must be printed/mailed?	Email	Contact URL	Phone	Date Updated	Notes	Production
1736	Blachly-Lane County Coop El Assn	OR	1736OR	1736OR1							1																																								0
1763	Black River Electric Coop, Inc - (SC)	SC	1763SC	1763SC1							1																																								0
1776	City of Black River Falls	WI	1776WI	1776WI1							1																																								0
1884	BENCO Electric Cooperative	MN	1884MN	1884MN1							1																																								0
1886	Blue Grass Energy Coop Corp	KY	1886KY	1886KY1							1																																								0
1886	Blue Grass Energy Coop Corp	OH	1886OH	1886OH1							1																																								0
1890	Blue Ridge Electric Coop Inc - (SC)	SC	1890SC	1890SC1							1																																								0
1891	Blue Ridge Mountain EMC - (GA)	GA	1891GA	1891GA1							1																																								0
1936	Bolivar Energy Authority	TN	1936TN	1936TN1							1																																								0
2001	Boone Electric Coop	MO	2001MO	2001MO1							1																																								0
2054	City of Bowling Green - (OH)	OH	2054OH	2054OH1							1																																								0
2056	City of Bowling Green - (KY)	KY	2056KY	2056KY1							1																																								0
2144	Town of Braintree - (MA)	MA	2144MA	2144MA1							1																																								0
2247	City of Bristol - (TN)	TN	2247TN	2247TN1							1																																								0
2247	City of Bristol - (TN)	VA	2247VA	2247VA1							1																																								0
2248	Bristol Virginia Utilities	TN	2248TN	2248TN1							1																																								0
2248	Bristol Virginia Utilities	VA	2248VA	2248VA1							1																																								0
2316	Brown County Rural Elec Assn	MN	2316MN	2316MN1							1																																								0
2411	City of Brownsville	TN	2411TN	2411TN1							1																																								0
2652	Butler County Rural Elec Coop - (IA)	IA	2652IA	2652IA1							1																																								0
2849	Central Electric Power Assn - (MS)	MS	2849MS	2849MS1							1																																								0
2903	Canoochee Electric Member Corp	GA	2903GA	2903GA1							1																																								0
2911	Canadian Valley Elec Coop, Inc	OK	2911OK	2911OK1							1																																								0
2955	Canby Utility Board	OR	2955OR	2955OR1							1																																								0
2960	Caney Fork Electric Coop, Inc	TN	2960TN	2960TN1							1																																								0
2998	Carbon Power & Light, Inc	WY	2998WY	2998WY1							1																																								0
3046	Duke Energy Progress - (NC)	NC	3046NC	3046NC1							1																																								0
3046	Duke Energy Progress - (NC)	SC	3046SC	3046SC1							1																																								0
3075	Carroll County - (TN)	TN	3075TN	3075TN1							1																																								0
3081	Carroll Electric Member Corp - (GA)	GA	3081GA	3081GA1							1																																								0
3203	Cedar Falls Utilities	IA	3203IA	3203IA1							1																																								0
3208	Cedarburg Light & Water Comm	WI	3208WI	3208WI1							1																																								0
3222	Central Alabama Electric Coop	AL	3222AL	3222AL1							1																																								0
3226	Central Rural Electric Cooperative, Inc	OK	3226OK	3226OK1							1																																								0
3240	Central Electric Coop Inc - (OR)	OR	3240OR	3240OR1							1																																								0
3248	Central Georgia El Member Corp	GA	3248GA	3248GA1							1																																								0
3314	Chariton Valley Elec Coop, Inc	IA	3314IA	3314IA1							1																																								0
3390	Caddo Electric Coop Inc	OK	3390OK	3390OK1							1																																								0
3408	City of Chattanooga - (TN)	GA	3408GA	3408GA1							1																																								0
3408	City of Chattanooga - (TN)	TN	3408TN	3408TN1							1																																								0
3413	PUD No 1 of Chelan County	WA	3413WA	3413WA1							1																																								0
3426	Cherokee Electric Coop	AL	3426AL	3426AL1							1																																								0
3475	Chickamauga GA (City of)	GA	3475GA	3475GA1							1																																								0
3478	Cimarron Electric Coop	OK	3478OK	3478OK1							1																																								0
3498	Chippewa Valley Electric Coop	WI	3498WI	3498WI1							1																																								0
3502	Choctawhatche Elec Coop, Inc	AL	3502AL	3502AL1							1																																								0
3502	Choctawhatche Elec Coop, Inc	FL	3502FL	3502FL1							1																																								0
3527	Choctaw Electric Coop Inc	OK	3527OK	3527OK1							1																																								0
3542	Duke Energy Ohio Inc	IN	3542IN	3542IN1							1																																								0
3542	Duke Energy Ohio Inc	KY	3542KY	3542KY1							1																																								0
3542	Duke Energy Ohio Inc	OH	3542OH	3542OH1							1																																								0
3644	PUD No 1 of Clallam County	WA	3644WA	3644WA1							1																																								0
3660	PUD No 1 of Clark County - (WA)	WA	3660WA	3660WA1							1																																								0
3687	Clark Energy Coop Inc - (KY)	KY	3687KY	3687KY1							1																																								0
3701	Clark Electric Coop - (WI)	WI	3701WI	3701WI1							1																																								0
3704	City of Clarksville - (TN)	TN	3704TN	3704TN1							1																																								0
3739	Clearwater Power Company	ID	3739ID	3739ID1							1																																								0
3739	Clearwater Power Company	WA	3739WA	3739WA1							1																																								0
3758	City of Cleveland - (TN)	TN	3758TN	3758TN1							1																																								0
3764	Clearwater-Polk Elec Coop Inc	MN	3764MN	3764MN1							1																																								0
3812	City of Clinton - (TN)	TN	3812TN	3812TN1							1																																								0
3843	Coastal Electric Member Corp	GA	3843GA	3843GA1							1																																								0
3844	Coastal Electric Coop, Inc	SC	3844SC	3844SC1							1																																								0
3855	Columbia Power System	TN	3855TN	3855TN1							1																																								0
3916	Cobb Electric Membership Corp	GA	3916GA	3916GA1							1																																								0
4068	City of Columbus - (MS)	MS	4068MS	4068MS1							1																																								0
4071	Columbus Electric Coop, Inc	NM	4071NM	4071NM1							1																																								0
4073	City of Columbus - (WI)	WI	4073WI	4073WI1							1																																								0
4254	Consumers Energy Co	OH	4254OH	4254OH1							1																																								0
4265	Continental Divide El Coop Inc	NM	4265NM	4265NM1							1																																								0
4294	City of Cookeville - (TN)	TN	4294TN	4294TN1							1																																								0
4346	Cooperative L&P Assn Lake County	MN	4346MN	4346MN1							1																																								0
4401	Cotton Electric Coop, Inc	OK	4401OK	4401OK1							1																																								0
4430	Covington Electric Coop, Inc	AL	4430AL	4430AL1							1																																								0
4432	Coweta-Fayette El Member Corp	GA	4432GA	4432GA1							1																																								0
4437	City of Covington - (TN)	TN	4437TN	4437TN1							1																																								0
4442	PUD No 1 of Cowlitz County	WA	4442WA	4442WA1							1																																								0
4577	Crow Wing Cooperative Power & Light Comp	MN	4577MN	4577MN1							1																																								0
4617	Cullman Power Board	AL	4617AL	4617AL1							1																																								0
4618	Cullman Electric Coop, Inc	AL	4618AL	4618AL1							1																																								0
4622	Cumberland Valley Electric, Inc.	KY	4622KY	4622KY1							1																																								0
4624	Cumberland Elec Member Corp	KY	4624KY	4624KY1							1																																								0
4624	Cumberland Elec Member Corp	TN	4624TN	4624TN1							1																																								0
4675	Cuivre River Electric Coop Inc	MO	4675MO	4675MO1							1																																								0
4683	City of Cuyahoga Falls - (OH)	OH	4683OH	4683OH1							1																																								0
4743	Consumers Power, Inc	OR	4743OR	4743OR1							1																																								0
4920	City of Dayton - (TN)	TN	4920TN	4920TN1							1																																								0
4958	Decatur Utilities	AL	4958AL	4958AL1							1																																								0
5086	Delta Montrose Electric Assn	CO	5086CO	5086CO1							1																																								0
5148	City of Dickson	TN	5148TN	5148TN1							1																																								0
5204	Dixie Electric Coop	AL	5204AL	5204AL1							1																																								0
5327	Douglas Electric Coop - (OR)	OR	5327OR	5327OR1							1																																								0
5399	Duck River Elec Member Corp	TN	5399TN	5399TN1							1																																								0
5416	Duke Energy Carolinas, LLC	GA	5416GA	5416GA1							1																																								0
5416	Duke Energy Carolinas, LLC	NC	5416NC	5416NC1							1																																								0
5416	Duke Energy Carolinas, LLC	SC	5416SC	5416SC1							1																																								0
5416	Duke Energy Carolinas, LLC	VA	5416VA	5416VA1							1																																								0
5417	Dunn County Electric Coop	WI	5417WI	5417WI1							1																																								0
5509	City of Dyersburg	TN	5509TN	5509TN1							1																																								0
5551	Eagle River Light & Water Dept	WI	5551WI	5551WI1							1																																								0
5574	East Central Energy	MN	5574MN	5574MN1							1																																								0
5578	East Mississippi Elec Pwr Assn	MS	5578MS	5578MS1							1																																								0
5598	East Central Oklahoma Elec Coop Inc	OK	5598OK	5598OK1							1																																								0
5632	Eau Claire Electric Coop	WI	5632WI	5632WI1							1																																								0
5644	Edisto Electric Coop, Inc	SC	5644SC	5644SC1							1																																								0
5661	City of Edmond - (OK)	OK	5661OK	5661OK1							1																																								0
5701	El Paso Electric Co	NM	5701NM	5701NM1							1																																								0
5701	El Paso Electric Co	TX	5701TX	5701TX1							1																																								0
5763	City of Elizabethton - (TN)	TN	5763TN	5763TN1							1																																								0
5862	Empire Electric Assn, Inc	CO	5862CO	5862CO1							1																																								0
5905	Excelsior Electric Member Corp	GA	5905GA	5905GA1							1																																								0
5929	Fairfield Electric Coop, Inc	SC	5929SC	5929SC1							1																																								0
5961	Town of Erwin - (TN)	TN	5961TN	5961TN1							1																																								0
5964	Escambia River Elec Coop, Inc	AL	5964AL	5964AL1							1																																								0
5964	Escambia River Elec Coop, Inc	FL	5964FL	5964FL1							1																																								0
5997	Town of Estes Park	CO	5997CO	5997CO1							1																																								0
6008	City of Etowah	TN	6008TN	6008TN1							1																																								0
6022	City of Eugene - (OR)	OR	6022OR	6022OR1							1																																								0
6043	City of Evansville	WI	6043WI	6043WI1							1																																								0
6112	Farmers Electric Coop, Inc - (IA)	IA	6112IA	6112IA1							1																																								0
6168	Farmers Electric Coop Inc	IA	6168IA	6168IA1							1																																								0
6169	Fall River Rural Elec Coop Inc	ID	6169ID	6169ID1							1																																								0
6194	Farmers Rural Electric Coop Corp - (KY)	KY	6194KY	6194KY1							1																																								0
6234	City of Fayetteville	AL	6234AL	6234AL1							1																																								0
6234	City of Fayetteville	TN	6234TN	6234TN1							1																																								0
6258	Federated Rural Electric Assn	MN	6258MN	6258MN1							1																																								0
6395	Flathead Electric Coop Inc	MT	6395MT	6395MT1							1																																								0
6411	Flint Electric Membership Corp	GA	6411GA	6411GA1							1																																								0
6422	City of Florence - (AL)	AL	6422AL	6422AL1							1																																								0
6422	City of Florence - (AL)	TN	6422TN	6422TN1							1																																								0
6424	Florence Utility Commission	WI	6424WI	6424WI1							1																																								0
6442	Fleming-Mason Energy Coop Inc	KY	6442KY	6442KY1							1																																								0
6455	Duke Energy Florida, LLC	FL	6455FL	6455FL1							1																																								0
6604	City of Fort Collins - (CO)	CO	6604CO	6604CO1							1																																								0
6608	Fort Loudoun Electric Coop	TN	6608TN	6608TN1							1																																								0
6612	Fort Payne Improvement Authority	AL	6612AL	6612AL1							1																																								0
6641	4-County Electric Power Assn	AL	6641AL	6641AL1							1																																								0
6641	4-County Electric Power Assn	MS	6641MS	6641MS1							1																																								0
6717	Franklin Electric Coop - (AL)	AL	6717AL	6717AL1							1																																								0
6718	City of Franklin - (KY)	KY	6718KY	6718KY1							1																																								0
6782	Freeborn-Mower Coop Services	MN	6782MN	6782MN1							1																																								0
6840	Fulton KY (City of)	KY	6840KY	6840KY1							1																																								0
6840	Fulton KY (City of)	TN	6840TN	6840TN1							1																																								0
6923	City of Gallatin - (TN)	TN	6923TN	6923TN1							1																																								0
6957	Garkane Energy Coop, Inc	AZ	6957AZ	6957AZ1							1																																								0
6957	Garkane Energy Coop, Inc	UT	6957UT	6957UT1							1																																								0
7090	GreyStone Power Corporation	GA	7090GA	7090GA1							1																																								0
7140	Georgia Power Co	AL	7140AL	7140AL1							1																																								0
7140	Georgia Power Co	SC	7140SC	7140SC1							1																																								0
7140	Georgia Power Co	TN	7140TN	7140TN1							1																																								0
7174	Gibson Electric Members Corp	KY	7174KY	7174KY1							1																																								0
7174	Gibson Electric Members Corp	TN	7174TN	7174TN1							1																																								0
7270	City of Glasgow - (KY)	KY	7270KY	7270KY1							1																																								0
7292	Glencoe Light & Power Comm	MN	7292MN	7292MN1							1																																								0
7353	Golden Valley Elec Assn Inc	AK	7353AK	7353AK1							1																																								0
7450	Grady Electric Membership Corp	GA	7450GA	7450GA1							1																																								0
7460	Goodhue County Coop Elec Assn	MN	7460MN	7460MN1							1																																								0
7548	PUD No 1 of Grays Harbor County	WA	7548WA	7548WA1							1																																								0
7558	Grayson Rural Electric Coop Corp	KY	7558KY	7558KY1							1																																								0
7601	Green Mountain Power Corp	VT	7601VT	7601VT1							1																																								0
7625	City of Greeneville - (TN)	TN	7625TN	7625TN1							1																																								0
7785	Gulf Coast Electric Coop, Inc	FL	7785FL	7785FL1							1																																								0
7787	Gunnison County Elec Assn.	CO	7787CO	7787CO1							1																																								0
7826	City of Gunnison - (CO)	CO	7826CO	7826CO1							1																																								0
7827	Guntersville Electric Board	AL	7827AL	7827AL1							1																																								0
7887	Habersham Electric Membership Corp	GA	7887GA	7887GA1							1																																								0
8147	City of Harriman - (TN)	TN	8147TN	8147TN1							1																																								0
8210	Hart Electric Member Corp	GA	8210GA	8210GA1							1																																								0
8226	City of Hartselle	AL	8226AL	8226AL1							1																																								0
8283	Harrison County Rrl Elec Coop	IA	8283IA	8283IA1							1																																								0
8287	Hawaii Electric Light Co Inc	HI	8287HI	8287HI1							1																																								0
8319	Heartland Power Coop	IA	8319IA	8319IA1							1																																								0
8466	Henry County Rural E M C	IN	8466IN	8466IN1							1																																								0
8548	Hickman KY (City of)	KY	8548KY	8548KY1							1																																								0
8570	Highline Electric Assn	CO	8570CO	8570CO1							1																																								0
8570	Highline Electric Assn	NE	8570NE	8570NE1							1																																								0
8748	City of Holly Springs	MS	8748MS	8748MS1							1																																								0
8764	Holston Electric Coop, Inc	TN	8764TN	8764TN1							1																																								0
8773	Holy Cross Electric Assn, Inc	CO	8773CO	8773CO1							1																																								0
8786	Horry Electric Coop Inc	SC	8786SC	8786SC1							1																																								0
8846	City of Hopkinsville	KY	8846KY	8846KY1							1																																								0
8934	Howell-Oregon Elec Coop, Inc	MO	8934MO	8934MO1							1																																								0
9023	City of Humboldt	TN	9023TN	9023TN1							1																																								0
9094	City of Huntsville - (AL)	AL	9094AL	9094AL1							1																																								0
9191	Idaho Power Co	ID	9191ID	9191ID1							1																																								0
9191	Idaho Power Co	OR	9191OR	9191OR1							1																																								0
9273	Indianapolis Power & Light Co	IN	9273IN	9273IN1							1																																								0
9292	Inter County Energy Coop Corp	KY	9292KY	9292KY1							1																																								0
9331	Intercounty Electric Coop Assn	MO	9331MO	9331MO1							1																																								0
9417	Interstate Power and Light Co	IA	9417IA	9417IA1							1																																								0
9417	Interstate Power and Light Co	IL	9417IL	9417IL1							1																																								0
9417	Interstate Power and Light Co	MN	9417MN	9417MN1							1																																								0
9417	Interstate Power and Light Co	WI	9417WI	9417WI1							1																																								0
9431	Irwin Electric Membership Corp	GA	9431GA	9431GA1							1																																								0
9475	Itasca-Mantrap Co-op Electrical Assn	MN	9475MN	9475MN1							1																																								0
9575	Jackson Energy Coop Corp - (KY)	KY	9575KY	9575KY1							1																																								0
9601	Jackson Electric Member Corp - (GA)	GA	9601GA	9601GA1							1																																								0
9605	Jackson Purchase Energy Corporation	IL	9605IL	9605IL1							1																																								0
9612	City of Jackson - (TN)	TN	9612TN	9612TN1							1																																								0
9689	Jefferson Electric Member Corp	GA	9689GA	9689GA1							1																																								0
9690	Jefferson Utilities	WI	9690WI	9690WI1							1																																								0
9697	Jellico Electric System	TN	9697TN	9697TN1							1																																								0
9739	Joe Wheeler Elec Member Corp	AL	9739AL	9739AL1							1																																								0
9750	Jo-Carroll Energy, Inc	IA	9750IA	9750IA1							1																																								0
9750	Jo-Carroll Energy, Inc	IL	9750IL	9750IL1							1																																								0
9777	Johnson City - (TN)	TN	9777TN	9777TN1							1																																								0
9922	Jump River Electric Coop Inc	WI	9922WI	9922WI1							1																																								0
9936	Juneau Utility Commission	WI	9936WI	9936WI1							1																																								0
9991	Kandiyohi Power Coop	MN	9991MN	9991MN1							1																																								0
9999	Kankakee Valley Rural E M C	IN	9999IN	9999IN1							1																																								0
10012	Kay Electric Coop	OK	10012OK	10012OK1							1																																								0
10056	City of Kaukauna	WI	10056WI	10056WI1							1																																								0
10170	Kiamichi Electric Coop, Inc	OK	10170OK	10170OK1							1																																								0
10171	Kentucky Utilities Co	IL	10171IL	10171IL1							1																																								0
10171	Kentucky Utilities Co	IN	10171IN	10171IN1							1																																								0
10171	Kentucky Utilities Co	KY	10171KY	10171KY1							1																																								0
10171	Kentucky Utilities Co	OH	10171OH	10171OH1							1																																								0
10171	Kentucky Utilities Co	TN	10171TN	10171TN1							1																																								0
10171	Kentucky Utilities Co	VA	10171VA	10171VA1							1																																								0
10375	Kiwash Electric Coop Inc	OK	10375OK	10375OK1							1																																								0
10421	Knoxville Utilities Board	TN	10421TN	10421TN1							1																																								0
10448	Kosciusko County Rural E M C	IN	10448IN	10448IN1							1																																								0
10539	La Plata Electric Assn, Inc	CO	10539CO	10539CO1							1																																								0
10562	Lagrange County Rural E M C	IN	10562IN	10562IN1							1																																								0
10579	City of LaFollette	TN	10579TN	10579TN1							1																																								0
10624	Southern Rivers Energy	GA	10624GA	10624GA1							1																																								0
10629	Lakota ND (City of)	ND	10629ND	10629ND1							1																																								0
10697	Lake Country Power	MN	10697MN	10697MN1							1																																								0
10704	City of Lansing - (MI)	MI	10704MI	10704MI1							1																																								0
10768	Laurens Electric Coop, Inc	SC	10768SC	10768SC1							1																																								0
10799	City of Lawrenceburg	TN	10799TN	10799TN1							1																																								0
10906	City of Lenoir - (TN)	TN	10906TN	10906TN1							1																																								0
10944	PUD No 1 of Lewis County	WA	10944WA	10944WA1							1																																								0
10960	City of Lewisburg - (TN)	TN	10960TN	10960TN1							1																																								0
10968	City of Lexington - (TN)	TN	10968TN	10968TN1							1																																								0
11011	Licking Valley Rural E C C	KY	11011KY	11011KY1							1																																								0
11125	Lodi Municipal Light & Water Utilities	WI	11125WI	11125WI1							1																																								0
11187	City of Longmont	CO	11187CO	11187CO1							1																																								0
11222	Loudon Utilities Board	TN	11222TN	11222TN1							1																																								0
11247	Louisville Electric System	MS	11247MS	11247MS1							1																																								0
11249	Louisville Gas & Electric Co	IN	11249IN	11249IN1							1																																								0
11249	Louisville Gas & Electric Co	KY	11249KY	11249KY1							1																																								0
11251	Loup River Public Power Dist	NE	11251NE	11251NE1							1																																								0
11256	City of Loveland - (CO)	CO	11256CO	11256CO1							1																																								0
11273	Lower Valley Energy Inc	ID	11273ID	11273ID1							1																																								0
11273	Lower Valley Energy Inc	WY	11273WY	11273WY1							1																																								0
11298	Lyon Rural Electric Coop	IA	11298IA	11298IA1							1																																								0
11355	Lynches River Elec Coop, Inc	SC	11355SC	11355SC1							1																																								0
11458	Macon MS (City of)	MS	11458MS	11458MS1							1																																								0
11479	Madison Gas & Electric Co	WI	11479WI	11479WI1							1																																								0
11693	Marlboro Electric Coop, Inc	SC	11693SC	11693SC1							1																																								0
11714	Marshall-De Kalb Electric Coop	AL	11714AL	11714AL1							1																																								0
11789	Maryville Utilities	TN	11789TN	11789TN1							1																																								0
11843	Maui Electric Co Ltd	HI	11843HI	11843HI1							1																																								0
11871	City of Mayfield Plant Board	KY	11871KY	11871KY1							1																																								0
12186	McMinnville Electric System	TN	12186TN	12186TN1							1																																								0
12265	City of Medford - (WI)	WI	12265WI	12265WI1							1																																								0
12293	City of Memphis - (TN)	AR	12293AR	12293AR1							1																																								0
12293	City of Memphis - (TN)	MS	12293MS	12293MS1							1																																								0
12293	City of Memphis - (TN)	TN	12293TN	12293TN1							1																																								0
12298	City of Menasha - (WI)	WI	12298WI	12298WI1							1																																								0
12301	Nodak Electric Coop Inc	ND	12301ND	12301ND1							1																																								0
12330	Meriwether Lewis Electric Coop	TN	12330TN	12330TN1							1																																								0
12341	MidAmerican Energy Co	IA	12341IA	12341IA1							1																																								0
12341	MidAmerican Energy Co	IL	12341IL	12341IL1							1																																								0
12341	MidAmerican Energy Co	NE	12341NE	12341NE1							1																																								0
12341	MidAmerican Energy Co	SD	12341SD	12341SD1							1																																								0
12439	Midstate Electric Coop, Inc	OR	12439OR	12439OR1							1																																								0
12462	Mid-Carolina Electric Coop Inc	SC	12462SC	12462SC1							1																																								0
12463	Mid Yellowstone Electric Coop Inc	MT	12463MT	12463MT1							1																																								0
12470	Middle Tennessee E M C	TN	12470TN	12470TN1							1																																								0
12472	Middle Georgia El Member Corp	GA	12472GA	12472GA1							1																																								0
12532	City of Milan	TN	12532TN	12532TN1							1																																								0
12647	ALLETE, Inc.	MN	12647MN	12647MN1							1																																								0
12651	Minnesota Valley Electric Coop	MN	12651MN	12651MN1							1																																								0
12706	Mitchell Electric Member Corp	GA	12706GA	12706GA1							1																																								0
12825	NorthWestern Energy LLC - (MT)	MT	12825MT	12825MT1							1																																								0
12825	NorthWestern Energy LLC - (MT)	SD	12825SD	12825SD1							1																																								0
12860	Morgan County Rural Elec Assn	CO	12860CO	12860CO1							1																																								0
12866	Moon Lake Electric Assn Inc	CO	12866CO	12866CO1							1																																								0
12866	Moon Lake Electric Assn Inc	UT	12866UT	12866UT1							1																																								0
12988	City of Morristown - (TN)	TN	12988TN	12988TN1							1																																								0
13027	Mountain Electric Coop, Inc	NC	13027NC	13027NC1							1																																								0
13027	Mountain Electric Coop, Inc	TN	13027TN	13027TN1							1																																								0
13036	Village of Mt. Horeb - (WI)	WI	13036WI	13036WI1							1																																								0
13039	City of Mt Pleasant - (TN)	TN	13039TN	13039TN1							1																																								0
13050	Mountain Parks Electric, Inc	CO	13050CO	13050CO1							1																																								0
13058	Mountain View Elec Assn, Inc	CO	13058CO	13058CO1							1																																								0
13073	Mt Wheeler Power, Inc	NV	13073NV	13073NV1							1																																								0
13119	City of Murfreesboro	TN	13119TN	13119TN1							1																																								0
13138	City of Murray - (KY)	KY	13138KY	13138KY1							1																																								0
13144	City of Muscle Shoals	AL	13144AL	13144AL1							1																																								0
13145	Muscoda Light & Water Utility	WI	13145WI	13145WI1							1																																								0
13208	City of Naperville - (IL)	IL	13208IL	13208IL1							1																																								0
13216	Nashville Electric Service	TN	13216TN	13216TN1							1																																								0
13227	Natchez Trace Elec Power Assn	MS	13227MS	13227MS1							1																																								0
13407	Nevada Power Co	AZ	13407AZ	13407AZ1							1																																								0
13412	City of New Albany - (MS)	MS	13412MS	13412MS1							1																																								0
13437	Newbern TN (City of)	TN	13437TN	13437TN1							1																																								0
13438	New Glarus Municipal Light & Water WKS	WI	13438WI	13438WI1							1																																								0
13448	City of New Holstein - (WI)	WI	13448WI	13448WI1							1																																								0
13467	New London Electric&Water Util	WI	13467WI	13467WI1							1																																								0
13481	City of New Richmond	WI	13481WI	13481WI1							1																																								0
13550	City of Newport	TN	13550TN	13550TN1							1																																								0
13651	Nolin Rural Electric Coop Corp	KY	13651KY	13651KY1							1																																								0
13669	North Alabama Electric Coop	AL	13669AL	13669AL1							1																																								0
13669	North Alabama Electric Coop	TN	13669TN	13669TN1							1																																								0
13675	Nishnabotna Valley R E C	IA	13675IA	13675IA1							1																																								0
13684	Nobles Cooperative Electric	MN	13684MN	13684MN1							1																																								0
13694	North Central Elec Coop, Inc	ND	13694ND	13694ND1							1																																								0
13700	North Itasca Electric Coop Inc	MN	13700MN	13700MN1							1																																								0
13716	North Georgia Elec Member Corp	GA	13716GA	13716GA1							1																																								0
13716	North Georgia Elec Member Corp	TN	13716TN	13716TN1							1																																								0
13731	North Star Electric Coop, Inc	MN	13731MN	13731MN1							1																																								0
13735	Northcentral Mississippi E P A	MS	13735MS	13735MS1							1																																								0
13735	Northcentral Mississippi E P A	TN	13735TN	13735TN1							1																																								0
13756	Northern Indiana Pub Serv Co	IL	13756IL	13756IL1							1																																								0
13756	Northern Indiana Pub Serv Co	IN	13756IN	13756IN1							1																																								0
13756	Northern Indiana Pub Serv Co	MI	13756MI	13756MI1							1																																								0
13780	Northern States Power Co	MI	13780MI	13780MI1							1																																								0
13780	Northern States Power Co	MN	13780MN	13780MN1							1																																								0
13781	Northern States Power Co - Minnesota	ND	13781ND	13781ND1							1																																								0
13781	Northern States Power Co - Minnesota	SD	13781SD	13781SD1							1																																								0
13781	Northern States Power Co - Minnesota	WI	13781WI	13781WI1							1																																								0
13788	Northern Wasco County PUD	OR	13788OR	13788OR1							1																																								0
13807	Northwestern Electric Coop Inc - (OK)	OK	13807OK	13807OK1							1																																								0
13809	NorthWestern Energy - (SD)	MT	13809MT	13809MT1							1																																								0
13809	NorthWestern Energy - (SD)	SD	13809SD	13809SD1							1																																								0
13838	Northfork Electric Coop, Inc	OK	13838OK	13838OK1							1																																								0
13933	City of Oak Ridge	TN	13933TN	13933TN1							1																																								0
13934	Ocmulgee Electric Member Corp	GA	13934GA	13934GA1							1																																								0
13936	Oakdale Electric Coop	WI	13936WI	13936WI1							1																																								0
13962	Oconee Electric Member Corp	GA	13962GA	13962GA1							1																																								0
13963	Oconomowoc Utilities	WI	13963WI	13963WI1							1																																								0
13965	Oconto Falls Water & Light Commission	WI	13965WI	13965WI1							1																																								0
14062	Oklahoma Electric Coop Inc	OK	14062OK	14062OK1							1																																								0
14063	Oklahoma Gas & Electric Co	KS	14063KS	14063KS1							1																																								0
14063	Oklahoma Gas & Electric Co	OK	14063OK	14063OK1							1																																								0
14078	City of Okolona	MS	14078MS	14078MS1							1																																								0
14109	Oregon Trail El Cons Coop, Inc	OR	14109OR	14109OR1							1																																								0
14127	Omaha Public Power District	IA	14127IA	14127IA1							1																																								0
14127	Omaha Public Power District	NE	14127NE	14127NE1							1																																								0
14170	Orcas Power & Light Coop	WA	14170WA	14170WA1							1																																								0
14175	Tri-County Electric Coop, Inc	SC	14175SC	14175SC1							1																																								0
14178	P K M Electric Coop, Inc	MN	14178MN	14178MN1							1																																								0
14232	Otter Tail Power Co	MN	14232MN	14232MN1							1																																								0
14232	Otter Tail Power Co	ND	14232ND	14232ND1							1																																								0
14232	Otter Tail Power Co	SD	14232SD	14232SD1							1																																								0
14251	Owen Electric Coop Inc	IN	14251IN	14251IN1							1																																								0
14251	Owen Electric Coop Inc	KY	14251KY	14251KY1							1																																								0
14275	City of Oxford - (MS)	MS	14275MS	14275MS1							1																																								0
14324	PUD No 2 of Pacific County	WA	14324WA	14324WA1							1																																								0
14354	PacifiCorp	CA	14354CA	14354CA1							1																																								0
14354	PacifiCorp	ID	14354ID	14354ID1							1																																								0
14354	PacifiCorp	NV	14354NV	14354NV1							1																																								0
14354	PacifiCorp	OR	14354OR	14354OR1							1																																								0
14354	PacifiCorp	UT	14354UT	14354UT1							1																																								0
14354	PacifiCorp	WY	14354WY	14354WY1							1																																								0
14398	Palmetto Electric Coop Inc	SC	14398SC	14398SC1							1																																								0
14455	City of Paris - (TN)	KY	14455KY	14455KY1							1																																								0
14455	City of Paris - (TN)	TN	14455TN	14455TN1							1																																								0
14468	People's Cooperative Services	MN	14468MN	14468MN1							1																																								0
14471	Parke County Rural E M C	IN	14471IN	14471IN1							1																																								0
14500	Park Electric Coop Inc	MT	14500MT	14500MT1							1																																								0
14534	City of Pasadena - (CA)	CA	14534CA	14534CA1							1																																								0
14557	Pee Dee Electric Coop, Inc	SC	14557SC	14557SC1							1																																								0
14624	PUD No 2 of Grant County	WA	14624WA	14624WA1							1																																								0
14626	Pedernales Electric Coop, Inc	TX	14626TX	14626TX1							1																																								0
14649	Planters Electric Member Corp	GA	14649GA	14649GA1							1																																								0
14668	Peninsula Light Company	WA	14668WA	14668WA1							1																																								0
14717	Pee Dee Electric Member Corp	NC	14717NC	14717NC1							1																																								0
14724	Pennyrile Rural Electric Coop	KY	14724KY	14724KY1							1																																								0
14724	Pennyrile Rural Electric Coop	TN	14724TN	14724TN1							1																																								0
14775	People's Electric Cooperative	OK	14775OK	14775OK1							1																																								0
14947	City of Philadelphia - (MS)	MS	14947MS	14947MS1							1																																								0
